Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /api/apis,10,1722,1251,2179,"296,59","0,000%","3,24886","99,04","0,57","31215,0"
POST /api/auth/login,10,192,187,199,"3,86","100,000%","4,96032","1,91","1,53","395,0"
POST /api/auth/logout,10,193,188,200,"3,87","0,000%","4,96032","1,90","1,09","392,0"
GET /api/dashboard/overview,10,1061,723,1405,"209,66","0,000%","3,51370","5,90","0,67","1720,0"
POST /api/import/,10,2022,702,6240,"1914,11","80,000%","1,47558","0,68","28,07","471,8"
POST /api/endpoints/,10,383,192,1482,"398,63","0,000%","1,59109","9,41","0,48","6058,0"
POST /api/endpoints/details,10,536,191,875,"259,55","0,000%","1,44175","0,88","0,51","627,0"
GET /api/tags,10,623,199,3487,"966,23","0,000%","1,43062","0,60","0,31","429,0"
POST /api/scan/create,10,955,200,2627,"712,27","0,000%","1,49365","0,68","0,49","467,0"
POST /api/scan/start,10,1454,747,2813,"638,81","0,000%","1,28403","0,58","0,44","462,0"
GET /api/scan/list,10,1401,626,3832,"984,79","0,000%","1,32031","115,96","0,29","89936,6"
TOTAL,110,958,187,6240,"990,97","16,364%","7,96582","93,47","15,70","12015,8"
